"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date","hrrcases","hrrdeaths","casegrowthrate","deathgrowthrate"
"202","256","MN- ST PAUL",1080676,0,0,0,0,2020-01-21,0,0,1.08001389328384,1.29228548423237
"203","322","ND- FARGO MOORHEAD -MN",533993,0,0,0,0,2020-01-21,0,0,1.14197197532809,1.14285714285714
"204","323","ND- GRAND FORKS",164613,0,0,0,0,2020-01-21,0,0,1.17361032695812,NA
"205","254","MN- ST CLOUD",260897,0,0,0,0,2020-01-21,0,0,1.05814660179744,NA
"206","261","MS- OXFORD",149639,0,0,0,0,2020-01-21,0,0,1.10947924313459,1
"207","258","MS- HATTIESBURG",306018,0,0,0,0,2020-01-21,0,0,1.2266993231572,1.57425665503244
"208","257","MS- GULFPORT",201377,0,0,0,0,2020-01-21,0,0,1.06479289992583,1.45043712051303
"209","274","MT- BILLINGS",585373,0,0,0,0,2020-01-21,0,0,1.05470088898428,1
"210","275","MT- GREAT FALLS",152681,0,0,0,0,2020-01-21,0,0,1.04890220070963,1
"211","370","SD- RAPID CITY",217734,0,0,0,0,2020-01-21,0,0,1.02347156532872,Inf
"212","324","ND- MINOT",125908,0,0,0,0,2020-01-21,0,0,1.05943522344039,1
"213","282","NH- MANCHESTER",894248,0,0,0,0,2020-01-21,0,0,1.09789586344048,1.31696400318072
"214","283","NJ- CAMDEN",2827593,0,0,0,0,2020-01-21,0,0,1.16150977241615,1.23099597864416
"215","284","NJ- HACKENSACK",1278413,0,0,0,0,2020-01-21,0,0,1.1260951668917,1.28060737611135
"216","291","NJ- PATERSON",393185,0,0,0,0,2020-01-21,0,0,1.17537123838859,1.2846889030135
"217","292","NJ- RIDGEWOOD",463288,0,0,0,0,2020-01-21,0,0,1.10974733983699,1.29328392112516
"218","285","NJ- MORRISTOWN",1028075,0,0,0,0,2020-01-21,0,0,1.16751873334348,1.32219244644438
"219","288","NJ- NEW BRUNSWICK",1044234,0,0,0,0,2020-01-21,0,0,1.19887763345337,1.29767447326116
